data	nip	ilosc	cena	suma					
2007-11-12	513-33-14-553	168	2,09	351,12					
2007-11-13	513-33-14-553	69	2,09	144,21					
2007-11-21	534-94-49-182	99	2,09	206,91					
2007-11-21	115-65-39-258	57	2,09	119,13					
2007-11-22	043-34-53-278	103	2,09	215,27					
2007-11-23	609-57-46-753	2	2,09	4,18					
2007-11-26	495-93-92-849	88	2,09	183,92					
2007-11-28	916-94-78-836	85	2,09	177,65					
2007-11-28	254-14-00-156	216	2,09	451,44					
2007-11-30	254-14-00-156	140	2,09	292,6					
2007-12-05	941-01-60-075	377	2,09	787,93					
2007-12-07	968-49-97-804	89	2,09	186,01					
2007-12-09	904-16-42-385	181	2,09	378,29					
2007-12-11	513-33-14-553	131	2,09	273,79					
2007-12-11	936-67-95-170	43	2,09	89,87					
2007-12-12	534-94-49-182	166	2,09	346,94					
2007-12-12	773-39-15-273	192	2,09	401,28					
2007-12-14	351-06-97-406	7	2,09	14,63					
2007-12-16	662-14-22-719	11	2,09	22,99					
2007-12-16	080-51-85-809	146	2,09	305,14					
2007-12-17	392-78-93-552	138	2,09	288,42					
2007-12-18	033-49-11-774	138	2,09	288,42					
2007-12-18	941-01-60-075	482	2,09	1007,38					
2007-12-20	941-01-60-075	481	2,09	1005,29					
2007-12-22	392-78-93-552	258	2,09	539,22					
2007-12-24	080-51-85-809	100	2,09	209					
2007-12-24	513-33-14-553	86	2,09	179,74					
2007-12-27	378-70-08-798	165	2,09	344,85					
2007-12-28	967-21-71-491	4	2,09	8,36					
2007-12-29	033-49-11-774	156	2,09	326,04					
2007-12-30	392-78-93-552	320	2,09	668,8					
2008-01-01	045-63-27-114	1	2,15	2,15					
2008-01-01	885-74-10-856	81	2,15	174,15					
2008-01-01	941-01-60-075	438	2,15	941,7					
2008-01-02	242-04-13-206	1	2,15	2,15					
2008-01-06	773-39-15-273	173	2,15	371,95					
2008-01-09	337-27-67-378	412	2,15	885,8					
2008-01-09	288-84-37-922	13	2,15	27,95					
2008-01-10	322-66-15-999	130	2,15	279,5					
2008-01-12	193-47-03-638	4	2,15	8,6					
2008-01-15	322-66-15-999	176	2,15	378,4					
2008-01-17	403-50-07-403	14	2,15	30,1					
2008-01-18	322-66-15-999	97	2,15	208,55					
2008-01-21	692-61-16-906	81	2,15	174,15					
2008-01-22	033-49-11-774	179	2,15	384,85					
2008-01-23	916-94-78-836	132	2,15	283,8					
2008-01-23	214-54-56-360	5	2,15	10,75					
2008-01-23	269-65-16-447	100	2,15	215					
2008-01-27	302-11-03-254	6	2,15	12,9					
2008-02-03	337-27-67-378	171	2,15	367,65					
2008-02-05	799-94-72-837	333	2,15	715,95					
2008-02-06	337-27-67-378	365	2,15	784,75					
2008-02-06	423-71-31-448	16	2,15	34,4					
2008-02-07	594-18-15-403	211	2,15	453,65					
2008-02-11	392-78-93-552	196	2,15	421,4					
2008-02-12	208-84-31-216	11	2,15	23,65					
2008-02-13	423-71-31-448	17	2,15	36,55					
2008-02-16	527-15-00-673	62	2,15	133,3					
2008-02-16	847-48-41-699	103	2,15	221,45					
2008-02-16	996-09-76-697	9	2,15	19,35					
2008-02-17	299-98-16-259	5	2,15	10,75					
2008-02-17	392-78-93-552	452	2,15	971,8					
2008-02-18	371-70-96-597	2	2,15	4,3					
2008-02-19	941-01-60-075	335	2,15	720,25					
2008-02-20	777-06-33-444	12	2,15	25,8					
2008-02-21	314-76-34-892	12	2,15	25,8					
2008-02-22	270-90-07-560	5	2,15	10,75					
2008-02-22	811-91-92-867	2	2,15	4,3					
2008-02-23	131-80-62-556	10	2,15	21,5					
2008-02-25	392-78-93-552	308	2,15	662,2					
2008-02-27	982-37-73-633	5	2,15	10,75					
2008-02-27	799-94-72-837	446	2,15	958,9					
2008-02-28	254-14-00-156	281	2,15	604,15					
2008-03-03	128-69-77-900	6	2,15	12,9					
2008-03-04	254-14-00-156	409	2,15	879,35					
2008-03-04	527-15-00-673	191	2,15	410,65					
2008-03-05	941-01-60-075	404	2,15	868,6					
2008-03-05	378-70-08-798	135	2,15	290,25					
2008-03-05	961-86-77-989	20	2,15	43					
2008-03-07	507-22-76-992	54	2,15	116,1					
2008-03-07	495-93-92-849	129	2,15	277,35					
2008-03-10	138-66-38-929	11	2,15	23,65					
2008-03-11	178-24-36-171	383	2,15	823,45					
2008-03-12	749-02-70-623	46	2,15	98,9					
2008-03-13	179-23-02-772	61	2,15	131,15					
2008-03-15	378-70-08-798	166	2,15	356,9					
2008-03-16	513-33-14-553	91	2,15	195,65					
2008-03-17	240-21-54-730	10	2,15	21,5					
2008-03-19	299-72-00-838	19	2,15	40,85					
2008-03-19	105-89-55-029	2	2,15	4,3					
2008-03-20	968-49-97-804	125	2,15	268,75					
2008-03-20	178-24-36-171	248	2,15	533,2					
2008-03-20	995-59-41-476	298	2,15	640,7					
2008-03-21	178-24-36-171	406	2,15	872,9					
2008-03-22	080-51-85-809	46	2,15	98,9					
2008-03-23	513-33-14-553	106	2,15	227,9					
2008-03-25	847-48-41-699	121	2,15	260,15					
2008-03-29	392-78-93-552	170	2,15	365,5					
2008-03-29	799-94-72-837	431	2,15	926,65					
2008-03-30	941-01-60-075	483	2,15	1038,45					
2008-04-01	254-14-00-156	354	2,15	761,1					
2008-04-03	513-33-14-553	65	2,15	139,75					
2008-04-06	337-27-67-378	176	2,15	378,4					
2008-04-07	843-22-41-173	2	2,15	4,3					
2008-04-08	527-15-00-673	46	2,15	98,9					
2008-04-11	995-59-41-476	477	2,15	1025,55					
2008-04-12	126-55-91-375	6	2,15	12,9					
2008-04-14	528-09-83-923	11	2,15	23,65					
2008-04-14	527-15-00-673	126	2,15	270,9					
2008-04-14	269-65-16-447	190	2,15	408,5					
2008-04-15	941-01-60-075	358	2,15	769,7					
2008-04-15	761-06-34-233	78	2,15	167,7					
2008-04-15	884-31-58-627	129	2,15	277,35					
2008-04-16	799-94-72-837	433	2,15	930,95					
2008-04-17	182-72-86-381	18	2,15	38,7					
2008-04-18	936-67-95-170	30	2,15	64,5					
2008-04-19	159-34-45-151	18	2,15	38,7					
2008-04-20	527-15-00-673	146	2,15	313,9					
2008-04-20	138-66-38-929	19	2,15	40,85					
2008-04-21	033-49-11-774	170	2,15	365,5					
2008-04-23	594-18-15-403	428	2,15	920,2					
2008-04-25	941-01-60-075	129	2,15	277,35					
2008-04-26	413-93-89-926	304	2,15	653,6					
2008-04-30	288-84-37-922	15	2,15	32,25					
2008-05-01	766-05-70-009	14	2,15	30,1					
2008-05-03	799-94-72-837	320	2,15	688					
2008-05-04	322-66-15-999	44	2,15	94,6					
2008-05-05	749-02-70-623	71	2,15	152,65					
2008-05-05	047-70-78-199	8	2,15	17,2					
2008-05-09	847-48-41-699	444	2,15	954,6					
2008-05-09	014-02-05-290	1	2,15	2,15					
2008-05-11	527-15-00-673	102	2,15	219,3					
2008-05-11	294-48-56-993	181	2,15	389,15					
2008-05-11	495-93-92-849	82	2,15	176,3					
2008-05-14	319-54-24-686	19	2,15	40,85					
2008-05-14	413-93-89-926	245	2,15	526,75					
2008-05-16	995-59-41-476	431	2,15	926,65					
2008-05-16	254-14-00-156	252	2,15	541,8					
2008-05-17	851-69-49-933	2	2,15	4,3					
2008-05-18	043-34-53-278	52	2,15	111,8					
2008-05-19	033-49-11-774	54	2,15	116,1					
2008-05-19	531-65-00-714	4	2,15	8,6					
2008-05-19	692-61-16-906	88	2,15	189,2					
2008-05-22	269-65-16-447	152	2,15	326,8					
2008-05-23	322-66-15-999	121	2,15	260,15					
2008-05-24	269-65-16-447	77	2,15	165,55					
2008-05-27	179-23-02-772	21	2,15	45,15					
2008-05-28	692-61-16-906	48	2,15	103,2					
2008-05-29	392-78-93-552	420	2,15	903					
2008-05-30	254-14-00-156	443	2,15	952,45					
2008-06-03	322-66-15-999	46	2,15	98,9					
2008-06-04	554-09-13-964	3	2,15	6,45					
2008-06-06	322-66-15-999	98	2,15	210,7					
2008-06-06	780-78-31-328	18	2,15	38,7					
2008-06-06	941-01-60-075	237	2,15	509,55					
2008-06-06	935-78-99-209	64	2,15	137,6					
2008-06-10	916-94-78-836	32	2,15	68,8					
2008-06-15	749-02-70-623	30	2,15	64,5					
2008-06-15	447-16-72-588	12	2,15	25,8					
2008-06-16	884-31-58-627	138	2,15	296,7					
2008-06-20	178-24-36-171	411	2,15	883,65					
2008-06-23	033-49-11-774	152	2,15	326,8					
2008-06-24	930-33-80-614	10	2,15	21,5					
2008-06-25	269-65-16-447	75	2,15	161,25					
2008-06-25	549-21-69-479	4	2,15	8,6					
2008-06-27	170-26-38-135	2	2,15	4,3					
2008-06-28	692-61-16-906	110	2,15	236,5					
2008-06-29	968-49-97-804	161	2,15	346,15					
2008-06-30	534-94-49-182	68	2,15	146,2					
2008-07-02	322-66-15-999	30	2,15	64,5					
2008-07-03	368-99-22-310	3	2,15	6,45					
2008-07-08	941-01-60-075	117	2,15	251,55					
2008-07-10	885-74-10-856	105	2,15	225,75					
2008-07-10	089-90-67-935	6	2,15	12,9					
2008-07-11	413-93-89-926	378	2,15	812,7					
2008-07-14	513-33-14-553	76	2,15	163,4					
2008-07-15	178-24-36-171	386	2,15	829,9					
2008-07-16	941-01-60-075	132	2,15	283,8					
2008-07-16	178-24-36-171	104	2,15	223,6					
2008-07-17	392-78-93-552	380	2,15	817					
2008-07-18	773-39-15-273	76	2,15	163,4					
2008-07-18	410-52-79-946	194	2,15	417,1					
2008-07-24	692-61-16-906	147	2,15	316,05					
2008-07-27	178-24-36-171	319	2,15	685,85					
2008-07-28	761-06-34-233	38	2,15	81,7					
2008-08-02	378-70-08-798	31	2,15	66,65					
2008-08-04	043-34-53-278	28	2,15	60,2					
2008-08-04	194-54-73-711	15	2,15	32,25					
2008-08-07	851-69-49-933	2	2,15	4,3					
2008-08-07	430-67-31-549	16	2,15	34,4					
2008-08-09	773-39-15-273	83	2,15	178,45					
2008-08-10	093-96-93-428	16	2,15	34,4					
2008-08-11	847-48-41-699	397	2,15	853,55					
2008-08-11	773-39-15-273	184	2,15	395,6					
2008-08-13	773-39-15-273	55	2,15	118,25					
2008-08-14	513-33-14-553	107	2,15	230,05					
2008-08-16	513-33-14-553	127	2,15	273,05					
2008-08-19	268-62-97-556	122	2,15	262,3					
2008-08-19	269-65-16-447	107	2,15	230,05					
2008-08-21	178-24-36-171	113	2,15	242,95					
2008-08-21	254-14-00-156	297	2,15	638,55					
2008-08-22	599-00-55-316	14	2,15	30,1					
2008-08-24	495-93-92-849	188	2,15	404,2					
2008-08-26	288-84-37-922	11	2,15	23,65					
2008-08-29	378-70-08-798	105	2,15	225,75					
2008-08-30	811-91-92-867	18	2,15	38,7					
2008-08-30	254-14-00-156	418	2,15	898,7					
2008-08-31	639-61-50-913	4	2,15	8,6					
2008-08-31	609-57-46-753	5	2,15	10,75					
2008-09-01	995-59-41-476	346	2,15	743,9					
2008-09-03	847-48-41-699	417	2,15	896,55					
2008-09-05	115-65-39-258	35	2,15	75,25					
2008-09-05	944-16-93-033	6	2,15	12,9					
2008-09-06	941-01-60-075	322	2,15	692,3					
2008-09-06	916-94-78-836	150	2,15	322,5					
2008-09-07	799-94-72-837	492	2,15	1057,8					
2008-09-11	269-65-16-447	93	2,15	199,95					
2008-09-14	692-61-16-906	64	2,15	137,6					
2008-09-14	403-50-07-403	7	2,15	15,05					
2008-09-14	269-65-16-447	90	2,15	193,5					
2008-09-21	941-01-60-075	136	2,15	292,4					
2008-09-22	080-51-85-809	104	2,15	223,6					
2008-09-22	736-91-47-235	1	2,15	2,15					
2008-09-23	935-78-99-209	52	2,15	111,8					
2008-09-23	392-78-93-552	203	2,15	436,45					
2008-09-25	534-94-49-182	183	2,15	393,45					
2008-09-26	692-61-16-906	182	2,15	391,3					
2008-09-28	392-78-93-552	383	2,15	823,45					
2008-10-01	178-24-36-171	113	2,15	242,95					
2008-10-01	620-15-33-614	154	2,15	331,1					
2008-10-01	205-96-13-336	8	2,15	17,2					
2008-10-04	244-64-83-142	5	2,15	10,75					
2008-10-04	159-34-45-151	14	2,15	30,1					
2008-10-06	884-31-58-627	27	2,15	58,05					
2008-10-06	885-74-10-856	141	2,15	303,15					
2008-10-08	180-17-78-339	14	2,15	30,1					
2008-10-08	935-78-99-209	136	2,15	292,4					
2008-10-08	594-18-15-403	378	2,15	812,7					
2008-10-08	270-90-07-560	12	2,15	25,8					
2008-10-11	392-78-93-552	284	2,15	610,6					
2008-10-12	080-51-85-809	54	2,15	116,1					
2008-10-12	935-78-99-209	51	2,15	109,65					
2008-10-12	322-66-15-999	159	2,15	341,85					
2008-10-17	847-48-41-699	351	2,15	754,65					
2008-10-17	178-24-36-171	390	2,15	838,5					
2008-10-17	019-98-81-222	4	2,15	8,6					
2008-10-18	968-49-97-804	140	2,15	301					
2008-10-19	941-01-60-075	125	2,15	268,75					
2008-10-19	527-15-00-673	97	2,15	208,55					
2008-10-22	527-15-00-673	190	2,15	408,5					
2008-10-24	799-94-72-837	415	2,15	892,25					
2008-10-26	847-48-41-699	269	2,15	578,35					
2008-10-26	822-52-42-474	11	2,15	23,65					
2008-10-26	392-78-93-552	162	2,15	348,3					
2008-11-05	269-65-16-447	75	2,15	161,25					
2008-11-07	178-24-36-171	358	2,15	769,7					
2008-11-08	885-74-10-856	198	2,15	425,7					
2008-11-11	178-24-36-171	189	2,15	406,35					
2008-11-12	337-27-67-378	226	2,15	485,9					
2008-11-13	322-66-15-999	94	2,15	202,1					
2008-11-18	941-01-60-075	401	2,15	862,15					
2008-11-19	513-33-14-553	52	2,15	111,8					
2008-11-20	904-16-42-385	189	2,15	406,35					
2008-11-22	413-93-89-926	201	2,15	432,15					
2008-11-23	178-24-36-171	235	2,15	505,25					
2008-11-24	322-66-15-999	78	2,15	167,7					
2008-11-24	080-77-49-649	13	2,15	27,95					
2008-11-24	910-38-33-489	196	2,15	421,4					
2008-11-28	982-09-19-706	11	2,15	23,65					
2008-11-28	547-03-32-866	17	2,15	36,55					
2008-11-29	596-37-06-465	4	2,15	8,6					
2008-12-03	753-35-55-536	17	2,15	36,55					
2008-12-03	857-68-68-600	1	2,15	2,15					
2008-12-08	775-48-66-885	6	2,15	12,9					
2008-12-08	254-14-00-156	496	2,15	1066,4					
2008-12-12	594-18-15-403	363	2,15	780,45					
2008-12-15	594-18-15-403	491	2,15	1055,65					
2008-12-15	413-93-89-926	369	2,15	793,35					
2008-12-17	527-15-00-673	60	2,15	129					
2008-12-18	910-38-33-489	35	2,15	75,25					
2008-12-21	254-14-00-156	121	2,15	260,15					
2008-12-21	941-01-60-075	442	2,15	950,3					
2008-12-22	254-14-00-156	338	2,15	726,7					
2008-12-23	935-78-99-209	94	2,15	202,1					
2008-12-26	369-43-03-176	14	2,15	30,1					
2008-12-27	824-54-79-834	2	2,15	4,3					
2008-12-29	799-94-72-837	110	2,15	236,5					
2008-12-30	277-10-19-546	18	2,15	38,7					
2008-12-30	964-69-89-011	7	2,15	15,05					
2009-01-01	534-38-74-959	2	2,13	4,26					
2009-01-02	916-94-78-836	188	2,13	400,44					
2009-01-06	550-69-18-758	11	2,13	23,43					
2009-01-06	799-94-72-837	129	2,13	274,77					
2009-01-06	692-61-16-906	117	2,13	249,21					
2009-01-08	054-09-46-315	11	2,13	23,43					
2009-01-10	692-61-16-906	186	2,13	396,18					
2009-01-11	269-65-16-447	40	2,13	85,2					
2009-01-16	596-37-06-465	6	2,13	12,78					
2009-01-18	322-66-15-999	153	2,13	325,89					
2009-01-19	392-78-93-552	163	2,13	347,19					
2009-01-21	337-81-35-067	16	2,13	34,08					
2009-01-22	410-52-79-946	161	2,13	342,93					
2009-01-23	801-63-85-001	5	2,13	10,65					
2009-01-26	534-94-49-182	200	2,13	426					
2009-01-30	272-67-67-068	11	2,13	23,43					
2009-02-03	172-30-09-104	14	2,13	29,82					
2009-02-05	254-14-00-156	469	2,13	998,97					
2009-02-09	766-05-70-009	11	2,13	23,43					
2009-02-09	799-94-72-837	423	2,13	900,99					
2009-02-09	093-96-93-428	9	2,13	19,17					
2009-02-09	284-59-84-568	3	2,13	6,39					
2009-02-10	178-24-36-171	186	2,13	396,18					
2009-02-10	254-14-00-156	390	2,13	830,7					
2009-02-11	594-18-15-403	445	2,13	947,85					
2009-02-12	941-01-60-075	241	2,13	513,33					
2009-02-12	665-06-94-730	3	2,13	6,39					
2009-02-14	033-49-11-774	50	2,13	106,5					
2009-02-15	337-27-67-378	284	2,13	604,92					
2009-02-16	847-48-41-699	395	2,13	841,35					
2009-02-18	594-18-15-403	290	2,13	617,7					
2009-02-19	178-24-36-171	361	2,13	768,93					
2009-02-21	413-93-89-926	355	2,13	756,15					
2009-02-22	534-50-90-387	19	2,13	40,47					
2009-02-24	495-93-92-849	32	2,13	68,16					
2009-02-27	240-56-56-791	13	2,13	27,69					
2009-02-27	392-78-93-552	156	2,13	332,28					
2009-03-01	204-35-99-685	20	2,13	42,6					
2009-03-02	904-16-42-385	112	2,13	238,56					
2009-03-05	254-14-00-156	110	2,13	234,3					
2009-03-06	789-52-61-433	4	2,13	8,52					
2009-03-13	281-47-91-148	18	2,13	38,34					
2009-03-17	910-38-33-489	60	2,13	127,8					
2009-03-17	140-36-11-559	14	2,13	29,82					
2009-03-17	378-70-08-798	24	2,13	51,12					
2009-03-19	178-24-36-171	145	2,13	308,85					
2009-03-19	941-01-60-075	393	2,13	837,09					
2009-03-21	378-70-08-798	73	2,13	155,49					
2009-03-21	885-74-10-856	136	2,13	289,68					
2009-03-22	392-78-93-552	422	2,13	898,86					
2009-03-23	847-48-41-699	187	2,13	398,31					
2009-03-25	269-65-16-447	58	2,13	123,54					
2009-03-26	392-78-93-552	436	2,13	928,68					
2009-03-30	799-94-72-837	406	2,13	864,78					
2009-04-01	799-94-72-837	108	2,13	230,04					
2009-04-02	773-41-40-060	10	2,13	21,3					
2009-04-03	916-94-78-836	153	2,13	325,89					
2009-04-05	653-45-64-141	3	2,13	6,39					
2009-04-06	935-78-99-209	109	2,13	232,17					
2009-04-08	804-82-65-826	9	2,13	19,17					
2009-04-08	495-93-92-849	112	2,13	238,56					
2009-04-13	080-51-85-809	29	2,13	61,77					
2009-04-13	941-01-60-075	310	2,13	660,3					
2009-04-15	322-66-15-999	107	2,13	227,91					
2009-04-18	885-74-10-856	26	2,13	55,38					
2009-04-20	935-78-99-209	114	2,13	242,82					
2009-04-21	930-33-80-614	4	2,13	8,52					
2009-04-22	058-15-94-554	15	2,13	31,95					
2009-04-26	527-15-00-673	144	2,13	306,72					
2009-04-30	594-18-15-403	110	2,13	234,3					
2009-04-30	916-94-78-836	105	2,13	223,65					
2009-05-02	495-93-92-849	51	2,13	108,63					
2009-05-04	295-31-73-319	1	2,13	2,13					
2009-05-04	193-47-03-638	8	2,13	17,04					
2009-05-06	847-48-41-699	128	2,13	272,64					
2009-05-09	277-10-19-546	9	2,13	19,17					
2009-05-15	847-48-41-699	291	2,13	619,83					
2009-05-16	799-94-72-837	261	2,13	555,93					
2009-05-18	495-93-92-849	192	2,13	408,96					
2009-05-18	254-14-00-156	319	2,13	679,47					
2009-05-20	392-78-93-552	393	2,13	837,09					
2009-05-24	307-98-17-187	13	2,13	27,69					
2009-05-25	941-01-60-075	380	2,13	809,4					
2009-05-26	916-94-78-836	36	2,13	76,68					
2009-05-29	268-62-97-556	179	2,13	381,27					
2009-05-31	378-70-08-798	111	2,13	236,43					
2009-06-01	885-74-10-856	36	2,13	76,68					
2009-06-01	749-02-70-623	120	2,13	255,6					
2009-06-05	711-39-55-294	11	2,13	23,43					
2009-06-07	080-77-49-649	15	2,13	31,95					
2009-06-07	715-03-63-213	4	2,13	8,52					
2009-06-10	940-29-78-846	11	2,13	23,43					
2009-06-13	128-91-02-348	9	2,13	19,17					
2009-06-14	941-01-60-075	498	2,13	1060,74					
2009-06-16	392-78-93-552	350	2,13	745,5					
2009-06-16	885-74-10-856	191	2,13	406,83					
2009-06-16	847-48-41-699	402	2,13	856,26					
2009-06-20	513-33-14-553	140	2,13	298,2					
2009-06-21	395-19-63-367	3	2,13	6,39					
2009-06-23	495-93-92-849	25	2,13	53,25					
2009-06-28	737-62-05-770	7	2,13	14,91					
2009-06-30	277-20-90-210	17	2,13	36,21					
2009-06-30	847-48-41-699	479	2,13	1020,27					
2009-06-30	405-18-48-099	6	2,13	12,78					
2009-06-30	351-06-97-406	10	2,13	21,3					
2009-07-01	665-06-94-730	2	2,13	4,26					
2009-07-03	270-87-86-398	13	2,13	27,69					
2009-07-06	204-35-99-685	12	2,13	25,56					
2009-07-06	594-18-15-403	191	2,13	406,83					
2009-07-06	749-02-70-623	123	2,13	261,99					
2009-07-07	269-65-16-447	66	2,13	140,58					
2009-07-08	692-61-16-906	132	2,13	281,16					
2009-07-12	547-99-88-807	9	2,13	19,17					
2009-07-12	773-39-15-273	111	2,13	236,43					
2009-07-13	080-51-85-809	163	2,13	347,19					
2009-07-13	208-84-31-216	4	2,13	8,52					
2009-07-15	295-31-73-319	10	2,13	21,3					
2009-07-16	847-48-41-699	457	2,13	973,41					
2009-07-18	941-01-60-075	260	2,13	553,8					
2009-07-19	950-40-82-698	181	2,13	385,53					
2009-07-20	941-01-60-075	144	2,13	306,72					
2009-07-21	178-24-36-171	246	2,13	523,98					
2009-07-23	531-81-72-734	10	2,13	21,3					
2009-07-25	294-48-56-993	148	2,13	315,24					
2009-07-27	968-49-97-804	24	2,13	51,12					
2009-07-30	410-52-79-946	66	2,13	140,58					
2009-08-02	392-78-93-552	333	2,13	709,29					
2009-08-02	916-94-78-836	194	2,13	413,22					
2009-08-06	269-65-16-447	154	2,13	328,02					
2009-08-06	322-66-15-999	100	2,13	213					
2009-08-06	369-43-03-176	18	2,13	38,34					
2009-08-06	549-21-69-479	20	2,13	42,6					
2009-08-08	322-66-15-999	200	2,13	426					
2009-08-09	269-65-16-447	48	2,13	102,24					
2009-08-09	692-61-16-906	68	2,13	144,84					
2009-08-10	639-61-50-913	9	2,13	19,17					
2009-08-14	941-01-60-075	493	2,13	1050,09					
2009-08-14	799-94-72-837	340	2,13	724,2					
2009-08-16	639-61-50-913	2	2,13	4,26					
2009-08-19	378-70-08-798	62	2,13	132,06					
2009-08-19	178-24-36-171	164	2,13	349,32					
2009-08-20	378-70-08-798	170	2,13	362,1					
2009-08-22	884-31-58-627	164	2,13	349,32					
2009-08-24	043-34-53-278	70	2,13	149,1					
2009-08-31	941-01-60-075	133	2,13	283,29					
2009-09-01	817-44-45-607	20	2,13	42,6					
2009-09-03	735-37-27-393	15	2,13	31,95					
2009-09-04	788-39-15-311	15	2,13	31,95					
2009-09-05	507-22-76-992	105	2,13	223,65					
2009-09-09	935-78-99-209	192	2,13	408,96					
2009-09-09	936-67-95-170	142	2,13	302,46					
2009-09-10	781-80-31-583	3	2,13	6,39					
2009-09-10	413-93-89-926	219	2,13	466,47					
2009-09-14	534-94-49-182	137	2,13	291,81					
2009-09-15	910-38-33-489	108	2,13	230,04					
2009-09-16	995-59-41-476	395	2,13	841,35					
2009-09-17	047-26-54-835	3	2,13	6,39					
2009-09-19	043-34-53-278	73	2,13	155,49					
2009-09-19	392-78-93-552	209	2,13	445,17					
2009-09-21	916-94-78-836	41	2,13	87,33					
2009-09-27	413-93-89-926	488	2,13	1039,44					
2009-09-28	325-70-30-985	5	2,13	10,65					
2009-09-28	513-33-14-553	97	2,13	206,61					
2009-09-29	885-74-10-856	58	2,13	123,54					
2009-09-29	322-66-15-999	179	2,13	381,27					
2009-10-01	242-04-13-206	18	2,13	38,34					
2009-10-02	843-22-41-173	4	2,13	8,52					
2009-10-02	019-98-81-222	1	2,13	2,13					
2009-10-03	935-78-99-209	86	2,13	183,18					
2009-10-04	799-94-72-837	290	2,13	617,7					
2009-10-06	789-52-61-433	14	2,13	29,82					
2009-10-08	761-06-34-233	120	2,13	255,6					
2009-10-08	115-65-39-258	28	2,13	59,64					
2009-10-09	847-48-41-699	213	2,13	453,69					
2009-10-15	050-38-86-889	10	2,13	21,3					
2009-10-16	513-33-14-553	53	2,13	112,89					
2009-10-17	534-94-49-182	178	2,13	379,14					
2009-10-17	340-11-17-090	6	2,13	12,78					
2009-10-21	847-48-41-699	118	2,13	251,34					
2009-10-21	982-09-19-706	5	2,13	10,65					
2009-10-22	269-65-16-447	89	2,13	189,57					
2009-10-27	968-49-97-804	22	2,13	46,86					
2009-10-28	269-65-16-447	199	2,13	423,87					
2009-11-03	164-61-25-530	8	2,13	17,04					
2009-11-03	269-65-16-447	198	2,13	421,74					
2009-11-04	029-43-78-009	6	2,13	12,78					
2009-11-04	033-49-11-774	68	2,13	144,84					
2009-11-04	995-59-41-476	200	2,13	426					
2009-11-05	594-18-15-403	426	2,13	907,38					
2009-11-05	773-39-15-273	142	2,13	302,46					
2009-11-05	254-14-00-156	298	2,13	634,74					
2009-11-07	413-93-89-926	224	2,13	477,12					
2009-11-09	594-18-15-403	133	2,13	283,29					
2009-11-11	392-78-93-552	326	2,13	694,38					
2009-11-11	950-40-82-698	102	2,13	217,26					
2009-11-12	254-14-00-156	332	2,13	707,16					
2009-11-13	080-51-85-809	95	2,13	202,35					
2009-11-17	170-89-76-803	7	2,13	14,91					
2009-11-17	799-94-72-837	276	2,13	587,88					
2009-11-17	865-19-31-951	6	2,13	12,78					
2009-11-19	392-78-93-552	232	2,13	494,16					
2009-11-19	527-15-00-673	162	2,13	345,06					
2009-11-22	749-02-70-623	66	2,13	140,58					
2009-11-22	371-70-96-597	2	2,13	4,26					
2009-11-22	904-16-42-385	152	2,13	323,76					
2009-11-22	687-31-19-697	2	2,13	4,26					
2009-11-25	910-38-33-489	115	2,13	244,95					
2009-11-25	916-94-78-836	29	2,13	61,77					
2009-11-25	968-49-97-804	91	2,13	193,83					
2009-11-27	080-51-85-809	125	2,13	266,25					
2009-11-29	692-61-16-906	40	2,13	85,2					
2009-11-29	847-48-41-699	279	2,13	594,27					
2009-11-30	128-69-77-900	8	2,13	17,04					
2009-12-04	884-31-58-627	194	2,13	413,22					
2009-12-05	043-34-53-278	168	2,13	357,84					
2009-12-06	799-94-72-837	211	2,13	449,43					
2009-12-06	208-84-31-216	19	2,13	40,47					
2009-12-08	214-54-56-360	16	2,13	34,08					
2009-12-11	961-86-77-989	18	2,13	38,34					
2009-12-11	254-14-00-156	399	2,13	849,87					
2009-12-13	236-48-82-153	11	2,13	23,43					
2009-12-17	033-49-11-774	131	2,13	279,03					
2009-12-18	761-06-34-233	67	2,13	142,71					
2009-12-19	749-02-70-623	151	2,13	321,63					
2009-12-24	033-49-11-774	105	2,13	223,65					
2009-12-25	884-31-58-627	132	2,13	281,16					
2009-12-25	413-93-89-926	142	2,13	302,46					
2009-12-25	561-51-98-882	17	2,13	36,21					
2009-12-26	254-14-00-156	444	2,13	945,72					
2009-12-26	941-01-60-075	294	2,13	626,22					
2009-12-27	254-14-00-156	274	2,13	583,62					
2009-12-29	968-49-97-804	168	2,13	357,84					
2009-12-30	885-74-10-856	115	2,13	244,95					
2009-12-30	534-94-49-182	126	2,13	268,38					
2010-01-02	378-70-08-798	73	2,1	153,3					
2010-01-02	178-24-36-171	413	2,1	867,3					
2010-01-03	254-14-00-156	393	2,1	825,3					
2010-01-06	429-16-50-754	13	2,1	27,3					
2010-01-07	178-24-36-171	211	2,1	443,1					
2010-01-11	692-61-16-906	116	2,1	243,6					
2010-01-11	872-13-44-365	9	2,1	18,9					
2010-01-15	392-78-93-552	117	2,1	245,7					
2010-01-16	941-01-60-075	221	2,1	464,1					
2010-01-20	193-47-03-638	9	2,1	18,9					
2010-01-21	413-93-89-926	214	2,1	449,4					
2010-01-22	916-94-78-836	138	2,1	289,8					
2010-01-23	530-86-39-445	11	2,1	23,1					
2010-01-23	495-93-92-849	128	2,1	268,8					
2010-01-24	413-93-89-926	376	2,1	789,6					
